,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@113.1,S2_46701398,2,113.0877388,4.1231794114871,9.62864011710589,1683.64514058621,378.998913914307,S2_46330162,2,110.0512956,5.17636040372512,S2_47052010,2,115.3816967,5.11849710706029,wet.te_residual_total_17_BP14
5@66.4,S5_27496297,5,66.43972035,3.80187341430312,8.83906917368918,-1614.1387199532,379.234178056794,S5_24551850,5,59.87704458,3.48757018255094,S5_37515682,5,90.62442906,3.47154509006508,wet.te_residual_total_17_BP14
2@113.11,S2_46701398,2,113.0877388,4.65801622307826,10.7289949525954,2106.45953770245,444.479687644211,S2_46330162,2,110.0512956,5.17636040372512,S2_47052010,2,115.3816967,5.11849710706029,wet.te_residual_total_18_BP14
5@66.41,S5_27496297,5,66.43972035,4.12801894540563,9.4388758705467,-1976.98440516882,444.755599074896,S5_24551850,5,59.87704458,3.48757018255094,S5_37515682,5,90.62442906,3.47154509006508,wet.te_residual_total_18_BP14
2@113.12,S2_46701398,2,113.0877388,5.53993447397781,12.5890393032101,2708.85090871723,520.92897264662,S2_46330162,2,110.0512956,5.17636040372512,S2_47052010,2,115.3816967,5.11849710706029,wet.te_residual_total_19_BP14
5@66.42,S5_27496297,5,66.43972035,4.29811769820353,9.60061996600856,-2367.05283939217,521.252340085277,S5_24551850,5,59.87704458,3.48757018255094,S5_37515682,5,90.62442906,3.47154509006508,wet.te_residual_total_19_BP14
2@113.13,S2_46701398,2,113.0877388,6.37069418602339,14.336507302365,3416.81551674235,609.206875019958,S2_46330162,2,110.0512956,5.17636040372512,S2_47052010,2,115.3816967,5.11849710706029,wet.te_residual_total_20_BP14
5@66.43,S5_27496297,5,66.43972035,4.33673383775067,9.48780621655644,-2781.32832585663,609.585041098505,S5_24551850,5,59.87704458,3.48757018255094,S5_37515682,5,90.62442906,3.47154509006508,wet.te_residual_total_20_BP14
2@113.14,S2_46701398,2,113.0877388,7.21895326398077,16.0878784102421,4341.95065879723,722.957952535564,S2_46330162,2,110.0512956,5.17636040372512,S2_47052010,2,115.3816967,5.11849710706029,wet.te_residual_total_21_BP14
5@66.44,S5_27496297,5,66.43972035,4.36897824463882,9.35839807586635,-3313.64331785903,723.406729765557,S5_24551850,5,59.87704458,3.48757018255094,S5_37515682,5,90.62442906,3.47154509006508,wet.te_residual_total_21_BP14
2@113.15,S2_46701398,2,113.0877388,7.9320621270052,17.5718223026542,5340.68566814882,844.112187371314,S2_46330162,2,110.0512956,5.17636040372512,S2_47052010,2,115.3816967,5.11849710706029,wet.te_residual_total_22_BP14
