,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@113.9,S2_46820675,2,113.8524469,2.86658287528963,6.69136032503024,1453.01944255131,396.872554646371,S2_46205850,2,108.8915883,2.22471753258548,S2_47321091,2,118.5659378,2.04989557678381,wet.rma_te_residual_total_17_BP14
5@66.4,S5_27496297,5,66.43972035,3.02342145803825,7.07267091814084,-1499.75638225507,398.44267094329,S5_11863225,5,53.89546898,0.89937097503299,S5_37997803,5,91.36022511,1.11831434486965,wet.rma_te_residual_total_17_BP14
9@37.1,S9_8182398,9,37.12013546,1.1080209093006,2.52499532899407,-981.698229039704,436.500321246826,S9_3701245,9,24.84497852,0.703616250573526,S9_17041965,9,66.79848629,0.797172888253262,wet.rma_te_residual_total_17_BP14
2@113.91,S2_46820675,2,113.8524469,3.41189197762392,7.72141388012708,1829.63419446083,456.354087554851,S2_46205850,2,108.8915883,2.22471753258548,S2_47321091,2,118.5659378,2.04989557678381,wet.rma_te_residual_total_18_BP14
5@66.41,S5_27496297,5,66.43972035,3.32514419728857,7.51612513896055,-1812.28973029851,458.159526055564,S5_11863225,5,53.89546898,0.89937097503299,S5_37997803,5,91.36022511,1.11831434486965,wet.rma_te_residual_total_18_BP14
9@37.11,S9_8182398,9,37.12013546,1.77103113989885,3.91888675106967,-1433.60897084556,501.921091513844,S9_3701245,9,24.84497852,0.703616250573526,S9_17041965,9,66.79848629,0.797172888253262,wet.rma_te_residual_total_18_BP14
2@113.92,S2_46820675,2,113.8524469,4.30473518207867,9.44951936956246,2387.3157600906,526.86604758426,S2_46205850,2,108.8915883,2.22471753258548,S2_47321091,2,118.5659378,2.04989557678381,wet.rma_te_residual_total_19_BP14
5@66.42,S5_27496297,5,66.43972035,3.4962468966759,7.5897212388099,-2147.99216964553,528.950447117359,S5_11863225,5,53.89546898,0.89937097503299,S5_37997803,5,91.36022511,1.11831434486965,wet.rma_te_residual_total_19_BP14
9@37.12,S9_8182398,9,37.12013546,2.45586778563756,5.25565217938588,-1958.17640903301,579.473678217666,S9_3701245,9,24.84497852,0.703616250573526,S9_17041965,9,66.79848629,0.797172888253262,wet.rma_te_residual_total_19_BP14
2@113.93,S2_46820675,2,113.8524469,5.12343702026705,11.0440084442857,3038.0367315203,611.106220824402,S2_46205850,2,108.8915883,2.22471753258548,S2_47321091,2,118.5659378,2.04989557678381,wet.rma_te_residual_total_20_BP14
5@66.43,S5_27496297,5,66.43972035,3.54957595031453,7.48690939734223,-2511.28336690177,613.523893261639,S5_11863225,5,53.89546898,0.89937097503299,S5_37997803,5,91.36022511,1.11831434486965,wet.rma_te_residual_total_20_BP14
9@37.13,S9_8182398,9,37.12013546,2.82647419189642,5.90277695644753,-2442.81930211676,672.125241674793,S9_3701245,9,24.84497852,0.703616250573526,S9_17041965,9,66.79848629,0.797172888253262,wet.rma_te_residual_total_20_BP14
2@113.94,S2_46820675,2,113.8524469,5.89205385794851,12.5915457570913,3881.44677209608,724.182181179823,S2_46205850,2,108.8915883,2.22471753258548,S2_47321091,2,118.5659378,2.04989557678381,wet.rma_te_residual_total_21_BP14
