,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@98.5,S2_45043544,2,98.51301522,3.39876151991727,6.45785947497076,933.324665318785,233.263572397166,S2_42025292,2,84.60658262,4.54537652680843,S2_45156658,2,100.2097111,4.7885099325454,wet.ma_te_fit_day_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.5327593045024,10.8271869157477,-1755.19345920908,338.786151246051,S7_31956171,7,96.48121012,5.30246658361653,S7_32940091,7,101.9471039,4.78125301197863,wet.ma_te_fit_day_17_BP14
9@33.9,S9_6368482,9,33.93753786,7.47467363031737,15.0288018825543,1584.51497835381,259.592800512618,S9_5686516,9,31.99307473,8.16058660189798,S9_7478538,9,36.4077051,7.88616724967941,wet.ma_te_fit_day_17_BP14
2@98.51,S2_45043544,2,98.51301522,3.92443746986745,7.29968343013312,1209.25543318908,280.241342550831,S2_42025292,2,84.60658262,4.54537652680843,S2_45156658,2,100.2097111,4.7885099325454,wet.ma_te_fit_day_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.98367441491683,11.4519271076771,-2199.80430888461,407.015484188717,S7_31956171,7,96.48121012,5.30246658361653,S7_32940091,7,101.9471039,4.78125301197863,wet.ma_te_fit_day_18_BP14
9@33.91,S9_6368482,9,33.93753786,7.86078336900614,15.4441193722867,1957.46195673066,311.873106394516,S9_5686516,9,31.99307473,8.16058660189798,S9_7478538,9,36.4077051,7.88616724967941,wet.ma_te_fit_day_18_BP14
2@98.52,S2_45043544,2,98.51301522,4.43709917104385,8.07622952751783,1574.39174229618,341.924181649195,S2_42025292,2,84.60658262,4.54537652680843,S2_45156658,2,100.2097111,4.7885099325454,wet.ma_te_fit_day_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.44433676520086,12.0610454047685,-2794.34277887478,496.602089766735,S7_31956171,7,96.48121012,5.30246658361653,S7_32940091,7,101.9471039,4.78125301197863,wet.ma_te_fit_day_19_BP14
9@33.92,S9_6368482,9,33.93753786,8.27910455625591,15.8979572155495,2458.24327506714,380.518290812124,S9_5686516,9,31.99307473,8.16058660189798,S9_7478538,9,36.4077051,7.88616724967941,wet.ma_te_fit_day_19_BP14
2@98.53,S2_45043544,2,98.51301522,4.9529553000877,8.83762646705084,1859.74046859964,380.923127624195,S2_42025292,2,84.60658262,4.54537652680843,S2_45156658,2,100.2097111,4.7885099325454,wet.ma_te_fit_day_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.87833358138795,12.6061532261871,-3225.92702034903,553.243178959294,S7_31956171,7,96.48121012,5.30246658361653,S7_32940091,7,101.9471039,4.78125301197863,wet.ma_te_fit_day_20_BP14
9@33.93,S9_6368482,9,33.93753786,8.66169901689812,16.276482484872,2808.73340538551,423.919176336818,S9_5686516,9,31.99307473,8.16058660189798,S9_7478538,9,36.4077051,7.88616724967941,wet.ma_te_fit_day_20_BP14
2@98.54,S2_45043544,2,98.51301522,5.46769692389738,9.56583325422481,2295.85562748472,445.974486151308,S2_42025292,2,84.60658262,4.54537652680843,S2_45156658,2,100.2097111,4.7885099325454,wet.ma_te_fit_day_21_BP14
7@99.94,S7_32133319,7,99.94477983,7.31424818486809,13.1299596239778,-3906.55185295888,647.722137513541,S7_31956171,7,96.48121012,5.30246658361653,S7_32940091,7,101.9471039,4.78125301197863,wet.ma_te_fit_day_21_BP14
9@33.94,S9_6368482,9,33.93753786,9.05244518748829,16.6518214983338,3371.00786551268,496.313096071749,S9_5686516,9,31.99307473,8.16058660189798,S9_7478538,9,36.4077051,7.88616724967941,wet.ma_te_fit_day_21_BP14
2@98.55,S2_45043544,2,98.51301522,6.15037245043921,10.4516283354419,2542.04310361697,463.382203446464,S2_42025292,2,84.60658262,4.54537652680843,S2_45156658,2,100.2097111,4.7885099325454,wet.ma_te_fit_day_22_BP14
