,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.9,S2_44784129,2,96.94547802,6.36800512847184,12.1679796821824,18.883594191698,3.37778442346891,S2_44073549,2,93.52620611,4.28004852460429,S2_46820675,2,113.8524469,4.36248410119992,wet.wue_total_17_BP14
5@89.1,S5_36742284,5,89.1281049,5.86949255857677,11.1378721556211,-18.3416558852278,3.42920884009374,S5_31260652,5,76.16548797,2.37298958970793,S5_42757204,5,104.3715333,2.70957437656112,wet.wue_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,6.15308006642393,11.7221602617807,-27.2672702194916,4.9692900020885,S7_31956171,7,96.48121012,1.19469052053116,S7_33411071,7,104.8359143,1.15509162450437,wet.wue_total_17_BP14
2@96.91,S2_44784129,2,96.94547802,7.18893410364081,13.5123380402944,19.0658113129803,3.1914177992268,S2_44073549,2,93.52620611,4.28004852460429,S2_46820675,2,113.8524469,4.36248410119992,wet.wue_total_18_BP14
5@89.11,S5_36742284,5,89.1281049,5.98341944082243,11.0589382462662,-17.5109118728078,3.24000491372442,S5_31260652,5,76.16548797,2.37298958970793,S5_42757204,5,104.3715333,2.70957437656112,wet.wue_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,6.59005915869756,12.2835247355336,-26.7432359505555,4.69511329734244,S7_31956171,7,96.48121012,1.19469052053116,S7_33411071,7,104.8359143,1.15509162450437,wet.wue_total_18_BP14
2@96.92,S2_44784129,2,96.94547802,7.85956924543225,14.6320888867961,19.7255698831336,3.14305075435917,S2_44073549,2,93.52620611,4.28004852460429,S2_46820675,2,113.8524469,4.36248410119992,wet.wue_total_19_BP14
5@89.12,S5_36742284,5,89.1281049,6.17412588720541,11.2267692480052,-17.5414624404919,3.19090151426621,S5_31260652,5,76.16548797,2.37298958970793,S5_42757204,5,104.3715333,2.70957437656112,wet.wue_total_19_BP14
7@99.92,S7_32133319,7,99.94477983,6.6666301457008,12.205812597861,-26.5046550486013,4.62395722508947,S7_31956171,7,96.48121012,1.19469052053116,S7_33411071,7,104.8359143,1.15509162450437,wet.wue_total_19_BP14
2@96.93,S2_44784129,2,96.94547802,8.54305014873574,15.8322904012589,20.3701011115273,3.09829882750428,S2_44073549,2,93.52620611,4.28004852460429,S2_46820675,2,113.8524469,4.36248410119992,wet.wue_total_20_BP14
5@89.13,S5_36742284,5,89.1281049,6.30834263236755,11.330793346857,-17.4949810546121,3.14546827047607,S5_31260652,5,76.16548797,2.37298958970793,S5_42757204,5,104.3715333,2.70957437656112,wet.wue_total_20_BP14
7@99.93,S7_32133319,7,99.94477983,6.54954012759659,11.8036363909763,-25.8756719301583,4.55811960053622,S7_31956171,7,96.48121012,1.19469052053116,S7_33411071,7,104.8359143,1.15509162450437,wet.wue_total_20_BP14
2@96.94,S2_44784129,2,96.94547802,9.14419819826229,16.9198990767073,21.0741547838509,3.08514325829776,S2_44073549,2,93.52620611,4.28004852460429,S2_46820675,2,113.8524469,4.36248410119992,wet.wue_total_21_BP14
5@89.14,S5_36742284,5,89.1281049,6.47080692651651,11.5326958729272,-17.6635790833138,3.13211241688576,S5_31260652,5,76.16548797,2.37298958970793,S5_42757204,5,104.3715333,2.70957437656112,wet.wue_total_21_BP14
