,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.07951817170227,7.55368801000601,2456.34890449084,559.417690125729,S2_44209808,2,93.99718694,6.55805963219207,S2_45156658,2,100.2097111,5.91893986736876,wet.te_fit_total_17_BP14
5@109.7,S5_43714208,5,109.7001758,3.1350134158434,5.72984921990088,-2346.06722673641,613.471678978774,S5_42251884,5,101.3829046,2.71785744064914,S5_44003086,5,115.1315049,2.9139235248493,wet.te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,4.50484957860089,8.39036565979936,-3800.2742011432,821.202289882693,S7_31956171,7,96.48121012,5.57779280511049,S7_32940091,7,101.9471039,5.39873619762036,wet.te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.94844569651107,13.3885592366724,3617.6869999039,618.856176028609,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291931,wet.te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.21233437393389,9.11796028924544,3921.30155574791,783.904221902849,S2_44209808,2,93.99718694,6.55805963219207,S2_45156658,2,100.2097111,5.91893986736876,wet.te_fit_total_18_BP14
5@109.71,S5_43714208,5,109.7001758,3.70887587015681,6.35456447331867,-3589.90215053897,859.649324034082,S5_42251884,5,101.3829046,2.71785744064914,S5_44003086,5,115.1315049,2.9139235248493,wet.te_fit_total_18_BP14
7@99.91,S7_32133319,7,99.94477983,5.37205742931478,9.41820336712667,-5850.31676353899,1150.73933741825,S7_31956171,7,96.48121012,5.57779280511049,S7_32940091,7,101.9471039,5.39873619762036,wet.te_fit_total_18_BP14
9@34.91,S9_6724364,9,34.93391023,8.11233603103338,14.7768894636501,5522.38193320069,867.194544796122,S9_6184858,9,32.79210864,10.7908680096742,S9_7478538,9,36.4077051,10.0048294291931,wet.te_fit_total_18_BP14
2@96.12,S2_44586954,2,96.05450929,6.27854481511585,10.4421816892718,5815.57010550663,1051.46414231851,S2_44209808,2,93.99718694,6.55805963219207,S2_45156658,2,100.2097111,5.91893986736876,wet.te_fit_total_19_BP14
5@109.72,S5_43714208,5,109.7001758,4.22224599027296,6.82485254550749,-5155.86611859727,1153.06234350426,S5_42251884,5,101.3829046,2.71785744064914,S5_44003086,5,115.1315049,2.9139235248493,wet.te_fit_total_19_BP14
