,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.17574848224824,12.2849383143227,742.18562261654,166.036123133513,S2_43829684,2,92.81876812,4.35112231728869,S2_45156658,2,100.2097111,4.12580187878175,wet.sv_area_total_8_BP14
5@90.6,S5_37515682,5,90.62442906,1.39302192319892,3.88322691975746,-414.608600475954,164.975122336198,S5_31260652,5,76.16548797,3.89176947829447,S5_44163859,5,116.340362,2.93194457658627,wet.sv_area_total_8_BP14
7@99.9,S7_32133319,7,99.94477983,1.77562007215405,4.98630232920207,-685.777330109378,240.807693596255,S7_31956171,7,96.48121012,3.35310399787907,S7_32940091,7,101.9471039,4.17859966508085,wet.sv_area_total_8_BP14
9@34.9,S9_6724364,9,34.93391023,2.7524176983813,7.87646829221833,699.54116784886,195.444768650585,S9_5686516,9,31.99307473,4.43352735917882,S9_7478538,9,36.4077051,3.95470174523957,wet.sv_area_total_8_BP14
2@96.11,S2_44586954,2,96.05450929,1.31826646205259,4.73737552985182,158.069741079225,64.7020187800615,S2_43829684,2,92.81876812,4.35112231728869,S2_45156658,2,100.2097111,4.12580187878175,wet.sv_area_total_9_BP14
5@90.61,S5_37515682,5,90.62442906,0.135648458388486,0.476574390463602,-49.8151062625192,64.2885612009637,S5_31260652,5,76.16548797,3.89176947829447,S5_44163859,5,116.340362,2.93194457658627,wet.sv_area_total_9_BP14
7@99.91,S7_32133319,7,99.94477983,0.271507356535582,0.956360632772801,-103.005035215522,93.8394827547218,S7_31956171,7,96.48121012,3.35310399787907,S7_32940091,7,101.9471039,4.17859966508085,wet.sv_area_total_9_BP14
9@34.91,S9_6724364,9,34.93391023,0.543920173221924,1.92589419372796,118.636278209089,76.1621679249053,S9_5686516,9,31.99307473,4.43352735917882,S9_7478538,9,36.4077051,3.95470174523957,wet.sv_area_total_9_BP14
2@96.12,S2_44586954,2,96.05450929,2.27648288079645,5.75032374907798,-235.273266303418,72.6208211275421,S2_43829684,2,92.81876812,4.35112231728869,S2_45156658,2,100.2097111,4.12580187878175,wet.sv_area_total_10_BP14
5@90.62,S5_37515682,5,90.62442906,1.26179388302848,3.14123418880445,174.544230795631,72.8937113188893,S5_31260652,5,76.16548797,3.89176947829447,S5_44163859,5,116.340362,2.93194457658627,wet.sv_area_total_10_BP14
7@99.92,S7_32133319,7,99.94477983,0.575535265523595,1.4188263188804,171.119112497947,106.333136105643,S7_31956171,7,96.48121012,3.35310399787907,S7_32940091,7,101.9471039,4.17859966508085,wet.sv_area_total_10_BP14
9@34.92,S9_6724364,9,34.93391023,1.91753735228018,4.81874577656963,-244.277142628014,82.36648742116,S9_5686516,9,31.99307473,4.43352735917882,S9_7478538,9,36.4077051,3.95470174523957,wet.sv_area_total_10_BP14
2@96.13,S2_44586954,2,96.05450929,3.25461230765215,7.64693512288018,-339.391207549561,87.0260660987104,S2_43829684,2,92.81876812,4.35112231728869,S2_45156658,2,100.2097111,4.12580187878175,wet.sv_area_total_11_BP14
5@90.63,S5_37515682,5,90.62442906,0.807304040982904,1.83404756343852,169.320290328809,88.6535590543202,S5_31260652,5,76.16548797,3.89176947829447,S5_44163859,5,116.340362,2.93194457658627,wet.sv_area_total_11_BP14
7@99.93,S7_32133319,7,99.94477983,0.509185210995698,1.15207289505855,194.194594464587,128.289060693414,S7_31956171,7,96.48121012,3.35310399787907,S7_32940091,7,101.9471039,4.17859966508085,wet.sv_area_total_11_BP14
9@34.93,S9_6724364,9,34.93391023,3.08505814768912,7.23158968695132,-370.112289143811,97.5908465269205,S9_5686516,9,31.99307473,4.43352735917882,S9_7478538,9,36.4077051,3.95470174523957,wet.sv_area_total_11_BP14
2@96.14,S2_44586954,2,96.05450929,0.946033675342631,2.4621178316659,-237.614980076257,114.819109895612,S2_43829684,2,92.81876812,4.35112231728869,S2_45156658,2,100.2097111,4.12580187878175,wet.sv_area_total_12_BP14
5@90.64,S5_37515682,5,90.62442906,0.00892491865144507,0.022932397297792,-23.360974294995,116.966366469436,S5_31260652,5,76.16548797,3.89176947829447,S5_44163859,5,116.340362,2.93194457658627,wet.sv_area_total_12_BP14
7@99.94,S7_32133319,7,99.94477983,9.72250348363346e-05,0.000249787707629068,3.52813507925,169.260043783368,S7_31956171,7,96.48121012,3.35310399787907,S7_32940091,7,101.9471039,4.17859966508085,wet.sv_area_total_12_BP14
9@34.94,S9_6724364,9,34.93391023,1.31244835701226,3.43292024999866,-314.637867591512,128.757907078904,S9_5686516,9,31.99307473,4.43352735917882,S9_7478538,9,36.4077051,3.95470174523957,wet.sv_area_total_12_BP14
