,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
1,S9_6724364,9,34.93391023,4.79523012817385,19.2971753862142,384.670823470987,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_17_BP14
2,S9_6724364,9,34.93391023,7.46481020000131,17.9275148737286,479.534100174964,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_18_BP14
3,S9_6724364,9,34.93391023,7.63141506913274,18.2886124408205,535.506956590822,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_19_BP14
4,S9_6724364,9,34.93391023,7.97557848879613,19.0295255526334,608.960314430381,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_20_BP14
5,S9_6724364,9,34.93391023,8.51706500277431,20.1816582180235,699.100983144558,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_21_BP14
6,S9_6724364,9,34.93391023,9.32751202188873,21.8755058858271,807.226602077986,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_22_BP14
7,S9_6724364,9,34.93391023,9.90707802395181,23.0647197787228,994.301421002802,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_23_BP14
8,S9_6724364,9,34.93391023,10.1965474471744,23.651887423906,1080.58322854457,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_24_BP14
9,S9_6724364,9,34.93391023,10.3305990389373,23.9222811016696,1040.17125568138,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_25_BP14
10,S9_6724364,9,34.93391023,10.2680156371655,23.7961643406076,941.890026739057,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_26_BP14
11,S9_6724364,9,34.93391023,10.2004895389396,23.6598526629789,747.830496518499,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_27_BP14
12,S9_6724364,9,34.93391023,10.0580187732118,23.3714533356034,594.122269542687,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_28_BP14
13,S9_6724364,9,34.93391023,9.81244302830481,22.871781795151,490.747129744488,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_29_BP14
14,S9_6724364,9,34.93391023,9.1491177158503,21.5057711098258,350.106634548737,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_30_BP14
15,S9_6724364,9,34.93391023,6.69736873624665,17.0493539354827,182.178463363952,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_31_BP14
16,S9_6724364,9,34.93391023,4.31929710574295,11.4220459080568,51.2665408369969,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_32_BP14
17,S9_6724364,9,34.93391023,3.30321214429519,10.0914013264214,153.366517205496,0,S9_6184858,1,32.79210864,3.88604004736983,S9_8279734,1,37.58932098,3.70306672811237,dry.te_fit_day_33_BP14
