,marker,chr,pos,lod,prop.var,additive.fx,additive.fx_se,L.CI_marker,L.CI_chr,L.CI_pos,L.CI_lod,R.CI_marker,R.CI_chr,R.CI_pos,R.CI_lod,trait
2@96.1,S2_44586954,2,96.05450929,4.4962563723503,7.27475339154201,2820.23262159866,621.446807701916,1.89158886877271,2,84.60658262,1.59079171056111,1.71608073048969,2,114.5694173,1.52354256380382,wet.sma_te_fit_total_17_BP14
3@47.4,S3_7345986,3,47.38986671,0.840595112969574,1.29357359857432,1202.79512468781,628.52745784273,1.24050625366294,3,45.16807388,0.861030312480459,1.53373403762851,3,57.64133659,1.08562312453248,wet.sma_te_fit_total_17_BP14
5@109.7,S5_43714208,5,109.7001758,4.40229770448282,7.11349154586514,-3354.62035745881,747.532597875712,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.sma_te_fit_total_17_BP14
5@80.0,S5_33184214,5,79.95790853,0.187113566232931,0.285401749788498,-636.601668071079,708.219081995727,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.sma_te_fit_total_17_BP14
5@39.1,S5_5738550,5,39.12975592,1.16963854420582,1.80800774656532,1672.81822397646,739.395452435334,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.sma_te_fit_total_17_BP14
6@59.4,S6_31006529,6,59.39487638,0.890829371569303,1.3718147265133,1249.2471437103,633.911750713008,0.337231287923942,6,0,0.222296737130357,1.17599839037939,6,92.0202595,1.02314425965241,wet.sma_te_fit_total_17_BP14
7@99.9,S7_32133319,7,99.94477983,5.43617885976478,8.910741277064,-4671.18562571365,930.033037556943,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.sma_te_fit_total_17_BP14
7@51.2,S7_19532160,7,51.17962841,0.0362057923907173,0.0551113781952637,283.982340002116,718.950293040347,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.sma_te_fit_total_17_BP14
7@34.0,S7_17158322,7,34.01418318,2.34974739071902,3.69119302954319,-2296.02673977632,710.267152698371,3.88378680640426,7,96.48121012,3.30872970321102,3.49774591641813,7,101.9471039,3.09772023889451,wet.sma_te_fit_total_17_BP14
9@34.9,S9_6724364,9,34.93391023,6.76243513795324,11.291183171533,3916.56774952307,692.730141251138,6.08860063865393,9,32.79210864,5.38528767150653,6.91163176334362,9,36.4077051,6.01966333541178,wet.sma_te_fit_total_17_BP14
2@96.11,S2_44586954,2,96.05450929,5.85978066305685,8.63809573193318,4269.99738420995,816.445881620318,1.89158886877271,2,84.60658262,1.59079171056111,1.71608073048969,2,114.5694173,1.52354256380382,wet.sma_te_fit_total_18_BP14
3@47.41,S3_7345986,3,47.38986671,1.10040389763331,1.51933188084138,1811.1950459677,825.748315191487,1.24050625366294,3,45.16807388,0.861030312480459,1.53373403762851,3,57.64133659,1.08562312453248,wet.sma_te_fit_total_18_BP14
5@109.71,S5_43714208,5,109.7001758,5.26326192291179,7.69475200269225,-4847.77093596392,982.09517427485,1.39232075373138,5,71.92483855,0.915559929371745,1.53245819360541,5,116.340362,1.24420700601752,wet.sma_te_fit_total_18_BP14
